,C,epsilon,gamma
0,616.4568275704801,0.5087475661767527,6.5543868082537715
1,453.6761961961682,0.48866787619501517,5.066167555483622
2,531.9307084398877,2.366986778620219,3.087086346759663
3,97.25530294997895,2.1264634739222816,0.45270099853902357
4,418.29665866910483,0.5298439516730995,2.583933381755772
5,255.19926132927907,0.9749732731904002,1.7412089043779262
6,457.2277201570214,0.8535814318692192,2.8064850589634727
7,698.0115001227019,0.33561955559772905,10.0
8,683.2499194643083,2.081711013095223,2.5014059891165292
9,579.590816472446,1.802935332041462,1.67573252363854
10,415.52006134403547,1.1735191571343677,0.16199323927615206
11,417.825388502304,2.5559836855066127,0.7139862716753407
12,699.6507489399017,0.019601740121107603,0.4864236022473871
13,589.2325485925682,1.239498998715539,0.3529174037257322
14,389.5023425538297,2.255325776978318,0.20129266193369244
15,648.5177738197908,0.31381458596358136,0.2656820581873869
16,613.7274568731292,2.8203550280853484,0.3529486317012819
17,413.68884987701836,2.178276248263585,0.3299743600462596
18,698.3951955639508,1.317291849825323,0.7197852930735698
19,386.98569725027653,2.104438292285929,0.3003460077325565
20,700.0,1.0734812678688548,0.7342661325280098
21,164.6199169403088,0.537452554821422,3.555216597911988
22,40.93942401764036,0.40185128198543074,5.762065512891812
23,22.072901221624576,2.87579043606599,7.8312497644230845
